"Regions:
1 | East-Central and Southeast Europe
2 | Latin America and the Caribbean
3 | West and Central Africa
4 | Middle East and North Africa
5 | Southern and Eastern Africa
6 | Post-Soviet Eurasia
7 | Asia and Oceania";  Region;  Ranking Status Index;  S | Status Index;  Ranking Democracy Status;  SI | Democracy Status;  Q1 | Stateness;  Q1.1 | Monopoly on the use of force;  Q1.2 | State identity;  Q1.3 | No interference of religious dogmas;  Q1.4 | Basic administration;  Q2 | Political Participation;  Q2.1 | Free and fair elections;  Q2.2 | Effective power to govern;  Q2.3 | Association / assembly rights;  Q2.4 | Freedom of expression;  Q3 | Rule of Law;  Q3.1 | Separation of powers;  Q3.2 | Independent judiciary;  Q3.3 | Prosecution of office abuse;  Q3.4 | Civil rights;  Q4 | Stability of Democratic Institutions;  Q4.1 | Performance of democratic institutions;  Q4.2 | Commitment to democratic institutions;  Q5 | Political and Social Integration;  Q5.1 | Party system;  Q5.2 | Interest groups;  Q5.3 | Approval of democracy;  Q5.4 | Social capital;  Ranking Economy Status;  SII | Economy Status;  Q6 | Level of Socioeconomic Development;  Q6.1 | Socioeconomic barriers;  Q7 | Organization of the Market and Competition;  Q7.1 | Market organization;  Q7.2 | Competition policy;  Q7.3 | Liberalization of foreign trade;  Q7.4 | Banking system;  Q8 | Monetary and Fiscal Stability;  Q8.1 | Monetary stability;  Q8.2 | Fiscal stability;  Q9 | Private Property;  Q9.1 | Property rights;  Q9.2 | Private enterprise;  Q10 | Welfare Regime;  Q10.1 | Social safety nets;  Q10.2 | Equal opportunity;  Q11 | Economic Performance;  Q11.1 | Output strength;  Q12 | Sustainability;  Q12.1 | Environmental policy;  Q12.2 | Education / R&D policy;  Ranking Governance Index;  G | Governance Index;  Q13 | Level of Difficulty;  Q13.1 | Structural constraints;  Q13.2 | Civil society traditions;  Q13.3 | Conflict intensity;  Q13.4 | GNI p.c. Atlas method rescaled;  Q13.5 | UN Educ. Index rescaled;  Q13.6 | BTI Stateness & Rule of Law;  GII | Governance Performance;  Q14 | Steering Capability;  Q14.1 | Prioritization;  Q14.2 | Implementation;  Q14.3 | Policy learning;  Q15 | Resource Efficiency;  Q15.1 | Efficient use of assets;  Q15.2 | Policy coordination;  Q15.3 | Anti-corruption policy;  Q16 | Consensus-Building;  Q16.1 | Consensus on goals;  Q16.2 | Anti-democratic actors;  Q16.3 | Cleavage / conflict management;  Q16.4 | Civil society participation;  Q16.5 | Reconciliation;  Q17 | International Cooperation;  Q17.1 | Effective use of support;  Q17.2 | Credibility;  Q17.3 | Regional cooperation;;  Trend;  Democracy Status 18;  Democracy Status 20;  Trend Democracy;;  Economy Status 18;  Economy Status 20;  Trend Economy;;  Governance Index 18;  Governance Index 20;  Trend Governance;;;  Political System;  Q2_1 | Free and fair elections;  Q2_2 | Effective power to govern;  Q2_3 | Association / assembly rights;  Q2_4 | Freedom of expression;  Q3_1 | Separation of powers;  Q3_4 | Civil rights;  Failed State;  Total;  Democracy/Autocracy;;  Categories;  S | Status Index;  Category;  ;  SI | Democracy Status;  Category;  ;  SII | Economy Status;  Category;  ;  G | Governance Index;  Category;  ;  Q13 | Level of Difficulty;  Category;  ;  GII | Governance Performance;  Category;  
Romania;1;17;7,65;22;7,65;9,3;10;9;9;9;8,0;9;8;8;7;6,8;6;7;6;8;7,5;7;8;6,8;6;7;8;6;18;7,64;7,0;7;8,5;8;8;10;8;8,5;9;8;8,0;8;8;7,0;7;7;8,0;8;6,5;7;6;74;4,83;3,0;4;5;3;2;1;3,;5,72;5,0;5;5;5;4,7;5;4;5;7,2;9;7;7;5;8;6,0;7;5;6;;;8,15;7,65;-0,50;è;7,96;7,64;-0,32;â;5,89;4,83;-1,06;ä;;;9;8;8;7;6;8;9,5;0;Dem.;;;7,65;2;Advanced;7,65;2;Defective democracies;7,64;2;Advanced;4,83;3;Moderate;3,0;4;Minor;5,72;3;Fair
Russia;6;73;5,30;85;4,50;8,0;9;9;7;7;3,5;4;3;3;4;4,0;3;4;4;5;3,0;3;3;4,0;4;4;n/a;4;50;6,11;7,0;7;6,8;5;7;8;7;8,0;9;7;4,0;4;4;6,0;6;6;6,0;6;5,0;4;6;114;3,47;3,8;4;6;4;3;1;5,;4,02;4,3;5;4;4;4,0;4;5;3;4,4;4;3;7;3;5;3,3;3;3;4;;;4,55;4,50;-0,05;â;6,07;6,11;0,04;â;3,52;3,47;-0,05;â;;;4;3;3;4;3;5;8;4;Aut.;;;5,30;4;Very limited;4,50;4;Moderate autocracies;6,11;3;Limited;3,47;4;Weak;3,8;4;Minor;4,02;4;Flawed
Rwanda;5;92;4,80;96;3,98;9,0;9;9;10;8;2,5;2;2;3;3;3,8;3;4;4;4;2,0;2;2;2,7;3;2;n/a;3;68;5,61;3,0;3;6,8;5;6;7;9;7,0;8;6;5,5;4;7;5,5;5;6;5,0;5;6,5;7;6;59;5,21;7,6;9;9;6;9;8;4,6;5,50;5,0;5;5;5;6,0;6;7;5;4,0;5;2;5;3;5;7,0;8;6;7;;;3,88;3,98;0,10;â;5,71;5,61;-0,11;â;5,20;5,21;0,00;â;;;2;2;3;3;3;4;8,5;5;Aut.;;;4,80;4;Very limited;3,98;5;Hard-line autocracies;5,61;3;Limited;5,21;3;Moderate;7,6;2;Substantial;5,50;3;Fair
Saudi Arabia;4;100;4,33;131;2,45;5,8;8;6;2;7;1,3;1;1;2;1;2,3;1;2;4;2;1,0;1;1;2,0;1;2;n/a;3;45;6,21;6,0;6;7,0;5;5;9;9;7,5;8;7;6,5;6;7;5,0;7;3;7,0;7;4,5;3;6;111;3,54;4,5;4;10;4;1;1;7,;4,03;4,0;4;4;4;5,3;5;6;5;2,8;4;1;3;2;4;4,0;5;3;4;;;2,57;2,45;-0,12;â;5,96;6,21;0,25;â;3,80;3,54;-0,26;â;;;1;1;2;1;1;2;7,5;6;Aut.;;;4,33;4;Very limited;2,45;5;Hard-line autocracies;6,21;3;Limited;3,54;4;Weak;4,5;3;Moderate;4,03;4;Flawed
Senegal;3;55;6,05;36;6,95;7,0;7;9;6;6;7,5;7;8;8;7;6,0;6;6;6;6;8,0;7;9;6,3;4;5;9;7;79;5,14;2,0;2;5,5;5;5;6;6;7,0;8;6;7,0;7;7;4,5;4;5;6,0;6;4,0;5;3;12;6,68;6,3;7;5;4;8;9;4,5;7,28;6,7;7;7;6;6,0;6;7;5;7,8;9;9;8;7;6;8,7;9;8;9;;;7,10;6,95;-0,15;â;5,25;5,14;-0,11;â;6,70;6,68;-0,02;â;;;7;8;8;7;6;6;6,5;0;Dem.;;;6,05;3;Limited;6,95;2;Defective democracies;5,14;3;Limited;6,68;2;Good;6,3;3;Moderate;7,28;2;Sound
Serbia;1;26;6,94;36;6,95;8,5;8;9;8;9;7,0;6;8;8;6;6,0;5;6;5;8;6,5;6;7;6,8;6;7;7;7;27;6,93;6,0;6;8,0;7;7;9;9;8,0;8;8;7,0;7;7;7,0;7;7;6,0;6;6,5;6;7;50;5,39;3,8;5;4;4;5;1;3,8;6,25;6,3;6;7;6;6,0;6;6;6;6,0;7;6;6;5;6;6,7;7;7;6;;;7,70;6,95;-0,75;è;7,11;6,93;-0,18;â;6,06;5,39;-0,68;è;;;6;8;8;6;5;8;8,5;0;Dem.;;;6,94;3;Limited;6,95;2;Defective democracies;6,93;3;Limited;5,39;3;Moderate;3,8;4;Minor;6,25;2;Sound
Sierra Leone;3;74;5,29;54;6,25;7,5;8;8;9;5;6,8;8;7;6;6;4,8;5;4;4;6;6,5;6;7;5,8;6;5;8;4;104;4,32;1,0;1;4,8;3;5;6;5;5,5;5;6;6,0;5;7;3,0;3;3;6,0;6;4,0;4;4;70;4,87;7,1;10;6;4;9;9;4,9;5,20;4,3;4;5;4;4,0;4;4;4;5,8;6;7;5;5;6;6,7;7;6;7;;;6,15;6,25;0,10;â;4,14;4,32;0,18;â;4,93;4,87;-0,06;â;;;8;7;6;6;5;6;6,5;0;Dem.;;;5,29;4;Very limited;6,25;2;Defective democracies;4,32;4;Very limited;4,87;3;Moderate;7,1;2;Substantial;5,20;3;Fair
Singapore;7;24;7,07;74;5,32;10,0;10;10;10;10;3,5;5;3;3;3;5,8;3;5;9;6;2,0;2;2;5,3;7;4;n/a;5;6;8,82;9,0;9;9,8;10;9;10;10;9,5;10;9;9,0;10;8;8,0;8;8;8,0;8;8,5;7;10;29;5,95;2,5;1;6;3;1;1;3,1;7,13;5,0;5;5;5;9,3;9;10;9;5,2;7;2;8;5;4;9,0;8;9;10;;;5,42;5,32;-0,10;â;8,89;8,82;-0,07;â;5,95;5,95;0,00;â;;;5;3;3;3;3;6;10;5;Aut.;;;7,07;2;Advanced;5,32;4;Moderate autocracies;8,82;1;Highly advanced;5,95;2;Good;2,5;4;Minor;7,13;2;Sound
Slovakia;1;9;8,72;10;8,65;9,8;10;10;9;10;9,5;10;10;10;8;8,0;8;8;7;9;8,0;8;8;8,0;6;9;9;8;7;8,79;9,0;9;9,5;9;9;10;10;9,5;10;9;9,5;9;10;8,5;9;8;9,0;9;6,5;7;6;17;6,36;1,7;1;2;3;1;1;2,1;7,80;8,0;8;8;8;6,7;7;7;6;8,2;8;9;7;9;8;8,3;8;8;9;;;8,60;8,65;0,05;â;8,57;8,79;0,21;â;6,70;6,36;-0,34;â;;;10;10;10;8;8;9;10;0;Dem.;;;8,72;1;Highly advanced;8,65;1;Democracies in consolidation;8,79;1;Highly advanced;6,36;2;Good;1,7;5;Negligible;7,80;2;Sound
Slovenia;1;5;9,27;7;9,15;9,5;10;10;8;10;9,5;10;10;10;8;9,0;10;9;8;9;10,0;10;10;7,8;7;9;7;8;3;9,39;10,0;10;9,8;10;10;10;9;9,5;10;9;9,5;10;9;9,0;9;9;9,0;9;9,0;9;9;11;6,72;1,3;1;1;2;1;1;1,8;8,33;7,7;8;8;7;8,0;8;8;8;9,0;10;10;8;8;9;8,7;8;9;9;;;9,25;9,15;-0,10;â;9,11;9,39;0,29;â;6,78;6,72;-0,06;â;;;10;10;10;8;10;9;10;0;Dem.;;;9,27;1;Highly advanced;9,15;1;Democracies in consolidation;9,39;1;Highly advanced;6,72;2;Good;1,3;5;Negligible;8,33;1;Excellent
Somalia;5;137;1,38;137;1,48;2,0;1;3;3;1;1,8;1;2;2;2;1,0;1;1;1;1;1,0;1;1;1,7;1;1;n/a;3;136;1,29;1,0;1;2,0;2;1;2;3;1,0;1;1;2,0;1;3;1,0;1;1;1,0;1;1,0;1;1;127;2,43;9,6;10;8;10;10;10;9,5;2,45;2,0;3;1;2;1,0;1;1;1;2,8;3;3;2;2;4;4,0;3;4;5;;;1,43;1,48;0,05;â;1,25;1,29;0,04;â;2,25;2,43;0,17;â;;;1;2;2;2;1;1;1;7;Aut.;;;1,38;5;Failed;1,48;5;Hard-line autocracies;1,29;5;Rudimentary;2,43;5;Failed;9,6;1;Massive;2,45;5;Poor
South Africa;5;31;6,80;25;7,45;8,0;8;8;9;7;7,8;8;7;8;8;7,3;7;9;6;7;7,5;7;8;6,8;7;8;6;6;48;6,14;4,0;4;8,0;7;8;8;9;7,0;8;6;7,0;7;7;6,0;6;6;5,0;5;6,0;7;5;19;6,25;3,9;6;3;4;5;2;3,4;7,23;6,3;7;6;6;6,3;5;7;7;7,6;8;9;7;6;8;8,7;9;8;9;;;7,60;7,45;-0,15;â;6,32;6,14;-0,18;â;5,96;6,25;0,29;â;;;8;7;8;8;7;7;7,5;0;Dem.;;;6,80;3;Limited;7,45;2;Defective democracies;6,14;3;Limited;6,25;2;Good;3,9;4;Minor;7,23;2;Sound
South Korea;7;10;8,66;11;8,60;10,0;10;10;10;10;8,5;9;10;7;8;8,5;9;9;8;8;8,5;8;9;7,5;6;8;9;7;8;8,71;9,0;9;8,5;9;8;9;8;9,0;9;9;9,5;10;9;7,5;8;7;9,0;9;8,5;7;10;14;6,65;2,0;1;5;2;1;1;1,8;8,10;7,3;8;7;7;7,7;8;8;7;8,4;10;10;8;7;7;9,0;10;9;8;;;8,45;8,60;0,15;â;8,64;8,71;0,07;â;6,51;6,65;0,15;â;;;9;10;7;8;9;8;10;0;Dem.;;;8,66;1;Highly advanced;8,60;1;Democracies in consolidation;8,71;1;Highly advanced;6,65;2;Good;2,0;5;Negligible;8,10;1;Excellent
South Sudan;5;131;2,26;129;2,67;5,0;3;6;9;2;1,8;1;1;3;2;2,3;2;3;2;2;2,0;2;2;2,3;2;3;n/a;2;132;1,86;1,0;1;2,5;2;2;3;3;2,0;2;2;2,5;3;2;2,5;2;3;1,0;1;1,5;2;1;130;2,15;9,2;10;8;10;10;10;7,4;2,18;1,7;2;2;1;2,0;2;2;2;2,4;4;2;1;3;2;2,7;3;1;4;;;2,62;2,67;0,05;â;1,93;1,86;-0,07;â;2,30;2,15;-0,16;â;;;1;1;3;2;2;2;2,5;7;Aut.;;;2,26;5;Failed;2,67;5;Hard-line autocracies;1,86;5;Rudimentary;2,15;5;Failed;9,2;1;Massive;2,18;5;Poor
Sri Lanka;7;38;6,58;45;6,65;7,3;9;6;7;7;7,3;8;7;7;7;6,5;6;8;6;6;6,0;6;6;6,3;6;7;7;5;35;6,50;6,0;6;6,5;7;5;7;7;7,0;8;6;7,5;7;8;6,5;7;6;7,0;7;5,0;4;6;46;5,45;4,7;6;5;5;6;2;4,1;6,18;5,3;5;5;6;5,3;5;6;5;6,4;6;6;7;7;6;7,7;7;7;9;;;6,55;6,65;0,10;â;6,68;6,50;-0,18;â;5,60;5,45;-0,14;â;;;8;7;7;7;6;6;8;0;Dem.;;;6,58;3;Limited;6,65;2;Defective democracies;6,50;3;Limited;5,45;3;Moderate;4,7;3;Moderate;6,18;2;Sound
Sudan;4;133;2,06;134;2,02;2,5;3;3;1;3;2,3;2;1;3;3;1,0;1;1;1;1;1,0;1;1;3,3;3;2;n/a;5;131;2,11;2,0;2;2,3;2;2;3;2;3,0;2;4;3,0;3;3;1,0;1;1;2,0;2;1,5;1;2;133;1,48;8,9;9;7;10;8;10;9,3;1,52;1,0;1;1;1;1,7;2;1;2;1,4;2;2;1;1;1;2,0;1;1;4;;;2,23;2,02;-0,22;â;2,32;2,11;-0,21;â;1,97;1,48;-0,49;â;;;2;1;3;3;1;1;3;6;Aut.;;;2,06;5;Failed;2,02;5;Hard-line autocracies;2,11;5;Rudimentary;1,48;5;Failed;8,9;1;Massive;1,52;5;Poor
Syria;4;134;1,76;135;1,80;3,0;2;3;5;2;1,5;2;1;1;2;1,5;2;2;1;1;1,0;1;1;2,0;2;2;n/a;2;133;1,71;1,0;1;2,0;2;1;2;3;2,0;2;2;2,0;2;2;1,5;2;1;2,0;2;1,5;2;1;136;1,22;9,0;10;8;10;9;8;8,8;1,25;1,0;1;1;1;1,7;1;3;1;1,0;1;1;1;1;1;1,3;1;1;2;;;1,75;1,80;0,05;â;1,39;1,71;0,32;â;1,13;1,22;0,09;â;;;2;1;1;2;2;1;2;7;Aut.;;;1,76;5;Failed;1,80;5;Hard-line autocracies;1,71;5;Rudimentary;1,22;5;Failed;9,0;1;Massive;1,25;5;Poor
Taiwan;7;3;9,49;3;9,55;10,0;10;10;10;10;9,8;10;10;10;9;10,0;10;10;10;10;9,5;9;10;8,5;9;9;7;9;2;9,43;10,0;10;9,5;9;10;10;9;10,0;10;10;10,0;10;10;9,0;9;9;8,0;8;9,5;9;10;2;7,37;1,5;2;2;2;1;1;1,;9,08;8,7;8;9;9;8,7;9;8;9;9,0;10;10;8;9;8;10,0;10;10;10;;;9,55;9,55;0,00;â;9,29;9,43;0,14;â;7,33;7,37;0,03;â;;;10;10;10;9;10;10;10;0;Dem.;;;9,49;1;Highly advanced;9,55;1;Democracies in consolidation;9,43;1;Highly advanced;7,37;1;Very good;1,5;5;Negligible;9,08;1;Excellent
Tajikistan;6;120;3,32;124;2,92;7,5;9;7;8;6;1,8;1;2;2;2;2,0;2;2;2;2;1,0;1;1;2,3;2;2;n/a;3;113;3,71;3,0;3;3,5;4;3;4;3;4,0;4;4;3,0;3;3;4,5;4;5;5,0;5;3,0;3;3;116;3,34;6,5;8;9;5;8;3;6,3;3,62;4,3;5;4;4;3,0;3;4;2;1,8;2;2;2;2;1;5,3;6;4;6;;;2,98;2,92;-0,07;â;3,64;3,71;0,07;â;3,31;3,34;0,03;â;;;1;2;2;2;2;2;7,5;6;Aut.;;;3,32;5;Failed;2,92;5;Hard-line autocracies;3,71;4;Very limited;3,34;4;Weak;6,5;2;Substantial;3,62;4;Flawed
Tanzania;5;63;5,49;59;6,05;7,8;9;8;8;6;6,0;6;8;5;5;5,0;4;7;5;4;6,0;6;6;5,5;6;5;6;5;82;4,93;3,0;3;5,0;4;5;5;6;7,0;7;7;5,5;5;6;4,0;4;4;6,0;6;4,0;4;4;85;4,47;6,6;7;7;4;9;8;4,6;4,83;5,0;5;6;4;4,3;4;4;5;4,0;5;3;5;3;4;6,0;7;5;6;;;6,10;6,05;-0,05;â;4,93;4,93;0,00;â;5,07;4,47;-0,60;è;;;6;8;5;5;4;4;7,5;0;Dem.;;;5,49;4;Very limited;6,05;2;Defective democracies;4,93;4;Very limited;4,47;3;Moderate;6,6;2;Substantial;4,83;4;Flawed
Thailand;7;91;4,81;115;3,30;6,8;7;7;6;7;1,5;1;1;2;2;3,3;2;3;4;4;1,0;1;1;4,0;3;4;n/a;5;41;6,32;6,0;6;6,3;5;5;7;8;8,0;8;8;7,0;7;7;5,0;6;4;6,0;6;6,0;6;6;97;4,02;5,3;6;6;7;4;3;6,;4,48;4,3;4;5;4;4,7;5;4;5;2,6;4;2;2;3;2;6,3;6;6;7;;;3,25;3,30;0,05;â;6,18;6,32;0,14;â;3,89;4,02;0,13;â;;;1;1;2;2;2;4;7;5;Aut.;;;4,81;4;Very limited;3,30;5;Hard-line autocracies;6,32;3;Limited;4,02;4;Weak;5,3;3;Moderate;4,48;4;Flawed
Timor-Leste;7;52;6,15;23;7,55;8,3;9;10;8;6;8,5;9;8;9;8;7,0;7;8;6;7;8,0;7;9;6,0;6;4;8;6;88;4,75;3,0;3;5,3;4;2;10;5;6,5;8;5;5,5;4;7;5,0;5;5;4,0;4;4,0;4;4;31;5,93;5,2;7;5;2;8;6;3,4;6,63;6,0;6;6;6;5,0;4;6;5;7,2;8;9;7;6;6;8,3;7;9;9;;;-;7,55;-;;-;4,75;-;;-;5,93;-;;;;9;8;9;8;7;7;7,5;0;Dem.;;;6,15;3;Limited;7,55;2;Defective democracies;4,75;4;Very limited;5,93;2;Good;5,2;3;Moderate;6,63;2;Sound
Togo;3;93;4,79;78;4,87;7,8;8;8;9;6;4,3;5;3;4;5;4,0;4;4;3;5;3,0;3;3;5,3;4;6;n/a;6;89;4,71;2,0;2;5,0;4;5;6;5;7,5;8;7;5,0;5;5;3,5;3;4;6,0;6;4,0;4;4;67;4,96;6,2;7;5;5;9;6;5,1;5,42;5,0;5;5;5;4,3;5;5;3;5,0;6;5;4;5;5;7,3;7;7;8;;;5,07;4,87;-0,20;â;4,71;4,71;0,00;â;5,10;4,96;-0,14;â;;;5;3;4;5;4;5;7;2;Aut.;;;4,79;4;Very limited;4,87;4;Moderate autocracies;4,71;4;Very limited;4,96;3;Moderate;6,2;3;Moderate;5,42;3;Fair
Trinidad and Tobago;2;18;7,49;13;8,45;8,3;8;9;9;7;9,3;10;9;9;9;7,3;8;8;5;8;9,5;9;10;8,0;7;9;8;8;33;6,54;6,0;6;7,3;6;7;8;8;7,0;7;7;7,0;7;7;6,5;7;6;6,0;6;6,0;6;6;26;6,02;3,0;6;4;2;1;2;3,3;7,13;7,3;8;7;7;5,7;6;7;4;7,5;7;8;8;7;n/a;8,0;8;8;8;;;-;8,45;-;;-;6,54;-;;-;6,02;-;;;;10;9;9;9;8;8;7,5;0;Dem.;;;7,49;2;Advanced;8,45;1;Democracies in consolidation;6,54;3;Limited;6,02;2;Good;3,0;4;Minor;7,13;2;Sound
Tunisia;4;44;6,38;49;6,55;7,8;8;9;7;7;7,5;9;8;7;6;5,5;6;6;4;6;6,5;6;7;5,5;5;7;5;5;45;6,21;5,0;5;6,0;5;6;7;6;7,5;8;7;6,5;7;6;6,5;6;7;6,0;6;6,0;6;6;49;5,43;5,1;6;6;5;6;3;4,4;6,10;5,3;6;4;6;5,0;5;6;4;6,4;7;6;6;7;6;7,7;6;8;9;;;6,50;6,55;0,05;â;6,04;6,21;0,18;â;5,33;5,43;0,10;â;;;9;8;7;6;6;6;7,5;0;Dem.;;;6,38;3;Limited;6,55;2;Defective democracies;6,21;3;Limited;5,43;3;Moderate;5,1;3;Moderate;6,10;2;Sound
Turkey;4;62;5,51;77;4,92;7,0;8;8;5;7;5,8;6;10;4;3;3,5;3;3;5;3;3,0;3;3;5,3;6;5;n/a;5;50;6,11;5,0;5;7,8;7;7;8;9;6,5;6;7;6,5;6;7;6,5;7;6;6,0;6;4,5;4;5;95;4,05;4,8;5;6;7;2;3;5,8;4,58;4,7;4;5;5;5,0;5;6;4;3,0;5;3;2;2;3;5,7;7;5;5;;;5,55;4,92;-0,63;è;6,79;6,11;-0,68;è;4,72;4,05;-0,67;è;;;6;10;4;3;3;3;7,5;3;Aut.;;;5,51;3;Limited;4,92;4;Moderate autocracies;6,11;3;Limited;4,05;4;Weak;4,8;3;Moderate;4,58;4;Flawed
Turkmenistan;6;129;2,71;128;2,75;8,0;10;7;9;6;1,0;1;1;1;1;1,8;2;2;2;1;1,0;1;1;2,0;2;2;n/a;2;128;2,68;2,0;2;1,8;2;1;3;1;3,0;2;4;2,5;2;3;3,5;4;3;3,0;3;3,0;3;3;128;2,32;5,4;5;10;3;4;4;6,1;2,58;2,7;3;3;2;2,0;2;2;2;2,0;1;1;4;1;3;3,7;3;3;5;;;2,85;2,75;-0,10;â;3,43;2,68;-0,75;è;2,51;2,32;-0,19;â;;;1;1;1;1;2;1;8;6;Aut.;;;2,71;5;Failed;2,75;5;Hard-line autocracies;2,68;5;Rudimentary;2,32;5;Failed;5,4;3;Moderate;2,58;5;Poor
Uganda;5;66;5,42;76;5,17;7,0;7;8;7;6;4,3;5;3;4;5;5,3;4;7;4;6;3,0;3;3;6,3;6;7;n/a;6;64;5,68;3,0;3;6,3;5;6;7;7;7,5;8;7;7,0;6;8;5,0;4;6;6,0;6;5,0;5;5;63;5,14;6,3;7;5;6;9;6;4,9;5,60;5,0;5;5;5;4,7;3;7;4;5,4;7;4;5;6;5;7,3;7;7;8;;;5,43;5,17;-0,27;â;5,89;5,68;-0,21;â;5,31;5,14;-0,17;â;;;5;3;4;5;4;6;6,5;2;Aut.;;;5,42;4;Very limited;5,17;4;Moderate autocracies;5,68;3;Limited;5,14;3;Moderate;6,3;3;Moderate;5,60;3;Fair
Ukraine;6;30;6,81;38;6,90;7,5;5;8;9;8;7,5;8;6;9;7;6,3;7;6;5;7;7,5;7;8;5,8;4;6;6;7;31;6,71;6,0;6;7,0;7;7;8;6;8,0;9;7;7,0;6;8;6,5;6;7;7,0;7;5,5;5;6;44;5,52;5,4;7;4;9;7;1;4,1;6,15;6,3;6;6;7;6,0;6;7;5;5,6;7;7;3;7;4;6,7;7;6;7;;;6,90;6,90;0,00;â;6,18;6,71;0,54;æ;5,41;5,52;0,10;â;;;8;6;9;7;7;7;6,5;0;Dem.;;;6,81;3;Limited;6,90;2;Defective democracies;6,71;3;Limited;5,52;3;Moderate;5,4;3;Moderate;6,15;2;Sound
United Arab Emirates;4;56;5,95;98;3,90;8,5;10;7;7;10;1,8;2;1;2;2;4,3;2;3;7;5;2,0;2;2;3,0;1;2;n/a;6;13;8,00;8,0;8;8,0;7;7;9;9;9,0;8;10;7,0;6;8;7,5;8;7;9,0;9;7,5;6;9;54;5,35;3,3;2;9;1;1;2;4,6;6,29;5,0;5;5;5;8,0;8;9;7;4,5;7;1;7;3;n/a;7,7;9;7;7;;;4,00;3,90;-0,10;â;8,14;8,00;-0,14;â;5,55;5,35;-0,20;â;;;2;1;2;2;2;5;10;5;Aut.;;;5,95;3;Limited;3,90;5;Hard-line autocracies;8,00;1;Highly advanced;5,35;3;Moderate;3,3;4;Minor;6,29;2;Sound
Uruguay;2;6;9,16;1;9,90;10,0;10;10;10;10;10,0;10;10;10;10;10,0;10;10;10;10;10,0;10;10;9,5;10;10;10;8;10;8,43;7,0;7;8,5;8;8;9;9;9,0;9;9;10,0;10;10;9,0;9;9;8,0;8;7,5;8;7;3;7,33;1,5;2;2;1;1;2;1,;9,03;8,3;8;8;9;8,0;7;8;9;9,8;10;10;10;10;9;10,0;10;10;10;;;9,95;9,90;-0,05;â;8,43;8,43;0,00;â;7,36;7,33;-0,03;â;;;10;10;10;10;10;10;10;0;Dem.;;;9,16;1;Highly advanced;9,90;1;Democracies in consolidation;8,43;1;Highly advanced;7,33;1;Very good;1,5;5;Negligible;9,03;1;Excellent
Uzbekistan;6;107;4,08;105;3,63;7,8;9;8;8;6;2,5;2;2;3;3;3,3;3;3;4;3;2,0;2;2;2,7;2;2;n/a;4;98;4,54;4,0;4;3,8;3;4;4;4;4,5;4;5;4,0;4;4;4,5;4;5;6,0;6;5,0;5;5;110;3,56;5,4;7;8;3;7;2;5,5;3,97;4,0;4;4;4;3,3;3;4;3;3,2;3;2;5;3;3;5,3;5;5;6;;;3,17;3,63;0,47;â;4,29;4,54;0,25;â;2,55;3,56;1,01;ã;;;2;2;3;3;3;3;7,5;6;Aut.;;;4,08;4;Very limited;3,63;5;Hard-line autocracies;4,54;4;Very limited;3,56;4;Weak;5,4;3;Moderate;3,97;4;Flawed
Venezuela;2;128;2,77;120;3,08;6,5;4;9;10;3;2,5;2;2;3;3;1,8;2;2;1;2;2,0;2;2;2,7;3;3;n/a;2;130;2,46;3,0;3;2,8;1;3;3;4;1,0;1;1;3,0;3;3;4,0;3;5;1,0;1;2,5;2;3;135;1,29;4,8;5;5;8;2;2;6,9;1,46;1,0;1;1;1;1,3;1;2;1;1,5;3;1;1;1;n/a;2,0;2;2;2;;;3,80;3,08;-0,72;è;3,14;2,46;-0,68;è;1,86;1,29;-0,57;è;;;2;2;3;3;2;2;3,5;6;Aut.;;;2,77;5;Failed;3,08;5;Hard-line autocracies;2,46;5;Rudimentary;1,29;5;Failed;4,8;3;Moderate;1,46;5;Poor
Vietnam;7;90;4,82;107;3,57;8,8;9;9;10;7;2,3;2;2;3;2;3,0;2;2;4;4;1,5;1;2;2,3;1;3;n/a;3;53;6,07;5,0;5;6,0;4;6;8;6;7,0;7;7;4,5;4;5;5,5;5;6;9,0;9;5,5;5;6;76;4,73;5,5;5;9;3;7;4;5,1;5,25;5,0;5;5;5;5,0;5;5;5;4,0;6;2;6;3;3;7,0;6;7;8;;;3,35;3,57;0,22;â;5,46;6,07;0,61;æ;4,51;4,73;0,22;â;;;2;2;3;2;2;4;8;5;Aut.;;;4,82;4;Very limited;3,57;5;Hard-line autocracies;6,07;3;Limited;4,73;3;Moderate;5,5;3;Moderate;5,25;3;Fair
Yemen;4;136;1,52;136;1,50;2,0;1;2;3;2;1,3;1;1;2;1;1,3;1;2;1;1;1,0;1;1;2,0;2;2;n/a;2;135;1,54;1,0;1;1,8;2;2;1;2;1,0;1;1;2,5;2;3;1,5;1;2;1,0;1;2,0;2;2;132;1,63;9,1;10;7;10;8;10;9,4;1,67;1,0;1;1;1;1,3;1;1;2;2,0;2;1;1;2;4;2,3;1;2;4;;;1,80;1,50;-0,30;â;1,64;1,54;-0,11;â;1,70;1,63;-0,07;â;;;1;1;2;1;1;1;1,5;7;Aut.;;;1,52;5;Failed;1,50;5;Hard-line autocracies;1,54;5;Rudimentary;1,63;5;Failed;9,1;1;Massive;1,67;5;Poor
