"Regions:
1 | East-Central and Southeast Europe
2 | Latin America and the Caribbean
3 | West and Central Africa
4 | Middle East and North Africa
5 | Southern and Eastern Africa
6 | Post-Soviet Eurasia
7 | Asia and Oceania";  Region;  Ranking Status Index;  S | Status Index;  Ranking Democracy Status;  SI | Democracy Status;  Q1 | Stateness;  Q1.1 | Monopoly on the use of force;  Q1.2 | State identity;  Q1.3 | No interference of religious dogmas;  Q1.4 | Basic administration;  Q2 | Political Participation;  Q2.1 | Free and fair elections;  Q2.2 | Effective power to govern;  Q2.3 | Association / assembly rights;  Q2.4 | Freedom of expression;  Q3 | Rule of Law;  Q3.1 | Separation of powers;  Q3.2 | Independent judiciary;  Q3.3 | Prosecution of office abuse;  Q3.4 | Civil rights;  Q4 | Stability of Democratic Institutions;  Q4.1 | Performance of democratic institutions;  Q4.2 | Commitment to democratic institutions;  Q5 | Political and Social Integration;  Q5.1 | Party system;  Q5.2 | Interest groups;  Q5.3 | Approval of democracy;  Q5.4 | Social capital;  Ranking Economy Status;  SII | Economy Status;  Q6 | Level of Socioeconomic Development;  Q6.1 | Socioeconomic barriers;  Q7 | Organization of the Market and Competition;  Q7.1 | Market organization;  Q7.2 | Competition policy;  Q7.3 | Liberalization of foreign trade;  Q7.4 | Banking system;  Q8 | Monetary and Fiscal Stability;  Q8.1 | Monetary stability;  Q8.2 | Fiscal stability;  Q9 | Private Property;  Q9.1 | Property rights;  Q9.2 | Private enterprise;  Q10 | Welfare Regime;  Q10.1 | Social safety nets;  Q10.2 | Equal opportunity;  Q11 | Economic Performance;  Q11.1 | Output strength;  Q12 | Sustainability;  Q12.1 | Environmental policy;  Q12.2 | Education / R&D policy;  Ranking Governance Index;  G | Governance Index;  Q13 | Level of Difficulty;  Q13.1 | Structural constraints;  Q13.2 | Civil society traditions;  Q13.3 | Conflict intensity;  Q13.4 | GNI p.c. Atlas method rescaled;  Q13.5 | UN Educ. Index rescaled;  Q13.6 | BTI Stateness & Rule of Law;  GII | Governance Performance;  Q14 | Steering Capability;  Q14.1 | Prioritization;  Q14.2 | Implementation;  Q14.3 | Policy learning;  Q15 | Resource Efficiency;  Q15.1 | Efficient use of assets;  Q15.2 | Policy coordination;  Q15.3 | Anti-corruption policy;  Q16 | Consensus-Building;  Q16.1 | Consensus on goals;  Q16.2 | Anti-democratic actors;  Q16.3 | Cleavage / conflict management;  Q16.4 | Civil society participation;  Q16.5 | Reconciliation;  Q17 | International Cooperation;  Q17.1 | Effective use of support;  Q17.2 | Credibility;  Q17.3 | Regional cooperation;;  Trend;  Democracy Status 20;  Democracy Status 22;  Trend Democracy;;  Economy Status 20;  Economy Status 22;  Trend Economy;;  Governance Index 20;  Governance Index 22;  Trend Governance;;;  Political System;  Q2_1 | Free and fair elections;  Q2_2 | Effective power to govern;  Q2_3 | Association / assembly rights;  Q2_4 | Freedom of expression;  Q3_1 | Separation of powers;  Q3_4 | Civil rights;  Failed State;  Total;  Democracy/Autocracy;;  Categories;  S | Status Index;  Category;  ;  SI | Democracy Status;  Category;  ;  SII | Economy Status;  Category;  ;  G | Governance Index;  Category;  ;  Q13 | Level of Difficulty;  Category;  ;  GII | Governance Performance;  Category;  
Romania;1;15;7,75;17;8,00;9,3;10;9;9;9;8,3;9;8;9;7;7,5;7;8;7;8;8,0;8;8;7,0;7;7;8;6;19;7,50;7,0;7;8,5;8;7;10;9;8,5;9;8;8,0;8;8;7,0;7;7;7,0;7;6,5;7;6;37;5,58;2,8;4;5;3;1;1;2,6;6,65;5,7;6;5;6;5,3;5;5;6;7,6;9;7;8;6;8;8,0;8;7;9;;;7,65;8,00;0,35;â;7,64;7,50;-0,14;â;4,83;5,58;0,75;æ;;;9;8;9;7;7;8;9,5;0;Dem.;;;7,75;2;Advanced;8,00;1;Democracies in consolidation;7,50;2;Advanced;5,58;3;Moderate;2,8;4;Minor;6,65;2;Sound
Russia;6;66;5,27;84;4,40;8,0;9;9;7;7;3,5;4;3;3;4;3,5;3;4;3;4;3,0;3;3;4,0;4;4;n/a;4;39;6,14;7,0;7;7,0;6;7;8;7;8,0;9;7;4,0;4;4;6,0;6;6;6,0;6;5,0;4;6;111;3,48;3,7;4;6;4;2;1;5,3;4,05;4,7;5;5;4;4,3;5;5;3;4,2;4;3;6;3;5;3,0;2;3;4;;;4,50;4,40;-0,10;â;6,11;6,14;0,04;â;3,47;3,48;0,02;â;;;4;3;3;4;3;4;8;4;Aut.;;;5,27;4;Very limited;4,40;4;Moderate autocracies;6,14;3;Limited;3,48;4;Weak;3,7;4;Minor;4,05;4;Flawed
Rwanda;5;89;4,65;98;3,83;8,5;9;9;10;6;2,5;2;2;3;3;3,5;3;4;4;3;2,0;2;2;2,7;3;2;n/a;3;65;5,46;3,0;3;6,8;5;6;7;9;7,0;8;6;6,0;4;8;5,5;5;6;5,0;5;5,0;5;5;49;5,25;7,3;8;9;6;9;7;5,;5,58;5,7;6;6;5;6,0;6;7;5;4,0;5;2;5;3;5;6,7;8;6;6;;;3,98;3,83;-0,15;â;5,61;5,46;-0,14;â;5,21;5,25;0,05;â;;;2;2;3;3;3;3;7,5;6;Aut.;;;4,65;4;Very limited;3,83;5;Hard-line autocracies;5,46;3;Limited;5,25;3;Moderate;7,3;2;Substantial;5,58;3;Fair
Saudi Arabia;4;96;4,39;132;2,50;6,0;8;6;3;7;1,3;1;1;2;1;2,3;1;2;4;2;1,0;1;1;2,0;1;2;n/a;3;34;6,29;6,0;6;7,5;6;6;9;9;7,5;8;7;7,0;7;7;5,0;7;3;6,0;6;5,0;5;5;96;3,99;4,3;3;10;4;1;1;6,9;4,57;5,0;5;5;5;5,3;5;7;4;2,6;4;1;3;2;3;5,3;6;5;5;;;2,45;2,50;0,05;â;6,21;6,29;0,07;â;3,54;3,99;0,45;â;;;1;1;2;1;1;2;7,5;6;Aut.;;;4,39;4;Very limited;2,50;5;Hard-line autocracies;6,29;3;Limited;3,99;4;Weak;4,3;4;Minor;4,57;4;Flawed
Senegal;3;53;5,97;36;6,80;7,0;7;9;6;6;7,3;7;8;7;7;5,3;6;5;4;6;8,0;7;9;6,5;4;6;9;7;77;5,14;2,0;2;6,0;5;5;8;6;7,0;8;6;7,0;7;7;4,5;4;5;6,0;6;3,5;4;3;12;6,71;6,5;7;5;4;8;10;4,9;7,28;7,0;8;6;7;5,7;6;6;5;7,8;9;9;8;7;6;8,7;9;8;9;;;6,95;6,80;-0,15;â;5,14;5,14;0,00;â;6,68;6,71;0,04;â;;;7;8;7;7;6;6;6,5;0;Dem.;;;5,97;3;Limited;6,80;2;Defective democracies;5,14;3;Limited;6,71;2;Good;6,5;2;Substantial;7,28;2;Sound
Serbia;1;33;6,48;51;6,25;8,5;9;9;8;8;6,5;6;8;7;5;5,3;4;6;4;7;5,0;5;5;6,0;5;7;6;6;26;6,71;6,0;6;7,5;7;6;8;9;7,5;8;7;7,0;7;7;7,0;7;7;6,0;6;6,0;5;7;65;4,89;3,7;5;4;4;4;1;4,1;5,68;5,7;6;6;5;5,3;5;6;5;5,4;6;5;6;5;5;6,3;7;6;6;;;6,95;6,25;-0,70;è;6,93;6,71;-0,21;â;5,39;4,89;-0,50;è;;;6;8;7;5;4;7;8,5;0;Dem.;;;6,48;3;Limited;6,25;2;Defective democracies;6,71;3;Limited;4,89;3;Moderate;3,7;4;Minor;5,68;3;Fair
Sierra Leone;3;71;5,09;56;6,00;7,0;8;7;9;4;6,8;8;7;6;6;4,3;4;4;4;5;6,0;6;6;6,0;6;5;8;5;100;4,18;1,0;1;4,8;3;5;6;5;5,5;5;6;6,0;5;7;3,0;3;3;5,0;5;4,0;4;4;73;4,78;7,1;10;6;4;9;8;5,4;5,12;3,7;4;3;4;4,3;4;4;5;5,8;6;7;5;5;6;6,7;7;6;7;;;6,25;6,00;-0,25;â;4,32;4,18;-0,14;â;4,87;4,78;-0,09;â;;;8;7;6;6;4;5;6;0;Dem.;;;5,09;4;Very limited;6,00;2;Defective democracies;4,18;4;Very limited;4,78;3;Moderate;7,1;2;Substantial;5,12;3;Fair
Singapore;7;21;7,05;65;5,42;10,0;10;10;10;10;3,5;5;3;3;3;5,8;3;5;9;6;2,5;3;2;5,3;7;4;n/a;5;7;8,68;9,0;9;9,8;10;9;10;10;9,5;10;9;9,0;10;8;8,0;8;8;7,0;7;8,5;7;10;8;6,96;2,5;1;6;3;1;1;3,1;8,35;9,7;10;10;9;9,3;9;10;9;5,4;7;3;8;5;4;9,0;8;9;10;;;5,32;5,42;0,10;â;8,82;8,68;-0,14;â;5,95;6,96;1,01;ã;;;5;3;3;3;3;6;10;5;Aut.;;;7,05;2;Advanced;5,42;4;Moderate autocracies;8,68;1;Highly advanced;6,96;2;Good;2,5;4;Minor;8,35;1;Excellent
Slovakia;1;8;8,77;9;8,75;9,8;10;10;9;10;9,8;10;10;10;9;8,3;8;8;8;9;8,0;8;8;8,0;6;9;9;8;6;8,79;9,0;9;9,5;9;9;10;10;9,5;10;9;9,5;9;10;8,5;9;8;8,0;8;7,5;8;7;15;6,53;1,7;1;2;3;1;1;2,;8,02;7,7;8;8;7;6,7;7;6;7;8,4;9;9;7;9;8;9,3;9;9;10;;;8,65;8,75;0,10;â;8,79;8,79;0,00;â;6,36;6,53;0,17;â;;;10;10;10;9;8;9;10;0;Dem.;;;8,77;1;Highly advanced;8,75;1;Democracies in consolidation;8,79;1;Highly advanced;6,53;2;Good;1,7;5;Negligible;8,02;1;Excellent
Slovenia;1;6;8,90;10;8,70;9,8;10;10;9;10;8,8;10;10;8;7;8,5;9;9;8;8;9,0;9;9;7,5;6;9;7;8;4;9,11;10,0;10;9,8;10;9;10;10;9,0;10;8;10,0;10;10;9,0;9;9;8,0;8;8,0;8;8;21;6,20;1,6;2;1;3;1;1;1,9;7,62;7,3;8;7;7;7,0;7;7;7;7,8;9;8;7;7;8;8,3;9;7;9;;;9,15;8,70;-0,45;â;9,39;9,11;-0,29;â;6,72;6,20;-0,52;è;;;10;10;8;7;9;8;10;0;Dem.;;;8,90;1;Highly advanced;8,70;1;Democracies in consolidation;9,11;1;Highly advanced;6,20;2;Good;1,6;5;Negligible;7,62;2;Sound
Somalia;5;135;1,54;136;1,65;2,3;1;3;3;2;1,8;1;2;2;2;1,3;2;1;1;1;1,0;1;1;2,0;2;2;n/a;2;134;1,43;1,0;1;2,0;2;1;2;3;2,0;2;2;2,0;1;3;1,0;1;1;1,0;1;1,0;1;1;129;2,41;9,5;10;8;10;10;10;9,3;2,43;2,3;3;2;2;1,3;1;2;1;2,4;3;3;1;2;3;3,7;3;4;4;;;1,48;1,65;0,17;â;1,29;1,43;0,14;â;2,43;2,41;-0,02;â;;;1;2;2;2;2;1;1,5;7;Aut.;;;1,54;5;Failed;1,65;5;Hard-line autocracies;1,43;5;Rudimentary;2,41;5;Failed;9,5;1;Massive;2,43;5;Poor
South Africa;5;25;6,78;19;7,70;8,3;8;9;9;7;8,5;9;9;8;8;7,3;7;9;6;7;8,0;8;8;6,5;7;7;6;6;53;5,86;3,0;3;8,0;7;8;8;9;7,0;8;6;7,5;7;8;6,0;6;6;4,0;4;5,5;6;5;23;6,10;3,9;6;3;4;5;2;3,3;7,07;6,7;7;6;7;5,3;4;6;6;7,6;8;9;7;6;8;8,7;9;8;9;;;7,45;7,70;0,25;â;6,14;5,86;-0,29;â;6,25;6,10;-0,15;â;;;9;9;8;8;7;7;7,5;0;Dem.;;;6,78;3;Limited;7,70;2;Defective democracies;5,86;3;Limited;6,10;2;Good;3,9;4;Minor;7,07;2;Sound
South Korea;7;10;8,51;11;8,60;10,0;10;10;10;10;8,5;9;10;7;8;8,5;9;9;8;8;8,5;8;9;7,5;6;8;9;7;9;8,43;9,0;9;8,5;9;8;9;8;9,0;9;9;9,5;10;9;7,5;8;7;7,0;7;8,5;7;10;10;6,79;2,0;1;5;2;1;1;1,8;8,27;8,0;8;8;8;7,7;8;8;7;8,4;10;10;8;7;7;9,0;10;9;8;;;8,60;8,60;0,00;â;8,71;8,43;-0,29;â;6,65;6,79;0,14;â;;;9;10;7;8;9;8;10;0;Dem.;;;8,51;1;Highly advanced;8,60;1;Democracies in consolidation;8,43;1;Highly advanced;6,79;2;Good;2,0;5;Negligible;8,27;1;Excellent
South Sudan;5;132;2,30;130;2,67;4,8;3;6;9;1;2,0;1;1;3;3;2,3;2;3;2;2;2,0;2;2;2,3;2;3;n/a;2;131;1,93;1,0;1;2,5;2;2;3;3;2,0;2;2;3,0;3;3;2,5;2;3;1,0;1;1,5;2;1;131;2,15;7,8;10;8;10;1;10;7,5;2,27;1,7;2;2;1;1,7;2;2;1;2,4;4;2;1;3;2;3,3;3;2;5;;;2,67;2,67;0,00;â;1,86;1,93;0,07;â;2,15;2,15;0,01;â;;;1;1;3;3;2;2;2;7;Aut.;;;2,30;5;Failed;2,67;5;Hard-line autocracies;1,93;5;Rudimentary;2,15;5;Failed;7,8;2;Substantial;2,27;5;Poor
Sri Lanka;7;49;6,04;51;6,25;7,0;9;6;6;7;7,0;8;7;6;7;5,8;5;7;5;6;5,5;5;6;6,0;6;6;7;5;54;5,82;5,0;5;6,3;7;5;6;7;6,0;7;5;7,0;7;7;6,0;6;6;6,0;6;4,5;4;5;72;4,80;4,8;5;5;6;6;2;4,6;5,43;5,7;6;6;5;5,0;5;6;4;4,4;6;5;2;5;4;6,7;6;6;8;;;6,65;6,25;-0,40;â;6,50;5,82;-0,68;è;5,45;4,80;-0,65;è;;;8;7;6;7;5;6;8;0;Dem.;;;6,04;3;Limited;6,25;2;Defective democracies;5,82;3;Limited;4,80;3;Moderate;4,8;3;Moderate;5,43;3;Fair
Sudan;4;130;2,45;123;3,02;3,3;3;4;4;2;3,5;2;1;6;5;2,5;2;3;2;3;1,5;1;2;4,3;4;4;n/a;5;132;1,89;1,0;1;2,8;3;3;3;2;3,0;2;4;3,0;3;3;1,0;1;1;1,0;1;1,5;2;1;118;3,05;9,0;10;7;10;9;10;8,1;3,12;2,0;2;2;2;1,7;2;1;2;3,8;5;3;4;3;4;5,0;5;5;5;;;2,02;3,02;1,00;ã;2,11;1,89;-0,21;â;1,48;3,05;1,57;ã;;;2;1;6;5;2;3;2,5;5;Aut.;;;2,45;5;Failed;3,02;5;Hard-line autocracies;1,89;5;Rudimentary;3,05;4;Weak;9,0;1;Massive;3,12;4;Flawed
Syria;4;135;1,54;135;1,80;3,0;2;3;6;1;1,5;2;1;1;2;1,5;2;2;1;1;1,0;1;1;2,0;2;2;n/a;2;136;1,29;1,0;1;1,5;2;1;1;2;1,5;1;2;2,0;2;2;1,0;1;1;1,0;1;1,0;1;1;136;1,21;8,5;9;7;9;9;8;8,8;1,25;1,0;1;1;1;1,7;1;3;1;1,0;1;1;1;1;1;1,3;1;1;2;;;1,80;1,80;0,00;â;1,71;1,29;-0,43;â;1,22;1,21;-0,01;â;;;2;1;1;2;2;1;1,5;7;Aut.;;;1,54;5;Failed;1,80;5;Hard-line autocracies;1,29;5;Rudimentary;1,21;5;Failed;8,5;1;Massive;1,25;5;Poor
Taiwan;7;1;9,48;3;9,60;10,0;10;10;10;10;9,8;10;10;10;9;10,0;10;10;10;10;9,5;9;10;8,8;9;9;8;9;1;9,36;10,0;10;9,5;9;10;10;9;10,0;10;10;10,0;10;10;9,0;9;9;8,0;8;9,0;8;10;1;7,64;1,5;2;2;2;1;1;1,;9,42;10,0;10;10;10;8,7;9;8;9;9,0;10;10;8;9;8;10,0;10;10;10;;;9,55;9,60;0,05;â;9,43;9,36;-0,07;â;7,37;7,64;0,27;â;;;10;10;10;9;10;10;10;0;Dem.;;;9,48;1;Highly advanced;9,60;1;Democracies in consolidation;9,36;1;Highly advanced;7,64;1;Very good;1,5;5;Negligible;9,42;1;Excellent
Tajikistan;6;121;3,21;126;2,92;7,5;9;7;8;6;1,8;1;2;2;2;2,0;2;2;2;2;1,0;1;1;2,3;2;2;n/a;3;114;3,50;3,0;3;3,5;4;3;4;3;4,0;4;4;3,0;3;3;4,5;4;5;3,0;3;3,5;3;4;116;3,20;6,7;8;9;5;9;3;6,3;3,45;4,3;5;4;4;3,0;3;4;2;1,8;2;2;2;2;1;4,7;5;4;5;;;2,92;2,92;0,00;â;3,71;3,50;-0,21;â;3,34;3,20;-0,14;â;;;1;2;2;2;2;2;7,5;6;Aut.;;;3,21;5;Failed;2,92;5;Hard-line autocracies;3,50;4;Very limited;3,20;4;Weak;6,7;2;Substantial;3,45;4;Flawed
Tanzania;5;81;4,88;75;4,75;7,5;9;8;8;5;4,0;4;3;5;4;4,3;3;6;5;3;3,0;3;3;5,0;5;5;n/a;5;79;5,00;3,0;3;5,0;4;5;5;6;7,0;7;7;5,5;5;6;4,0;4;4;6,0;6;4,5;5;4;84;4,43;6,5;7;7;4;8;8;5,1;4,80;5,0;5;6;4;4,0;4;4;4;4,2;5;3;5;4;4;6,0;7;5;6;;;6,05;4,75;-1,30;ä;4,93;5,00;0,07;â;4,47;4,43;-0,04;â;;;4;3;5;4;3;3;7;4;Aut.;;;4,88;4;Very limited;4,75;4;Moderate autocracies;5,00;3;Limited;4,43;3;Moderate;6,5;2;Substantial;4,80;4;Flawed
Thailand;7;75;4,98;97;3,85;6,8;7;7;6;7;2,5;3;3;2;2;3,0;2;3;4;3;3,0;3;3;4,0;3;4;n/a;5;40;6,11;6,0;6;6,3;5;5;7;8;8,0;8;8;7,0;7;7;5,0;6;4;5,0;5;5,5;6;5;92;4,02;5,4;5;6;8;4;3;6,1;4,48;4,3;4;5;4;4,7;5;4;5;2,6;4;2;2;3;2;6,3;6;6;7;;;3,30;3,85;0,55;æ;6,32;6,11;-0,21;â;4,02;4,02;0,00;â;;;3;3;2;2;2;3;7;6;Aut.;;;4,98;4;Very limited;3,85;5;Hard-line autocracies;6,11;3;Limited;4,02;4;Weak;5,4;3;Moderate;4,48;4;Flawed
Timor-Leste;7;47;6,09;21;7,65;8,3;10;10;8;5;9,0;9;9;10;8;7,0;8;8;5;7;8,0;7;9;6,0;6;4;8;6;91;4,54;2,0;2;5,3;4;2;10;5;6,5;8;5;5,5;4;7;5,5;6;5;3,0;3;4,0;4;4;31;5,78;5,2;7;5;2;8;6;3,4;6,47;5,3;5;6;5;5,0;4;6;5;7,2;8;9;7;6;6;8,3;7;9;9;;;7,55;7,65;0,10;â;4,75;4,54;-0,21;â;5,93;5,78;-0,15;â;;;9;9;10;8;8;7;7,5;0;Dem.;;;6,09;3;Limited;7,65;2;Defective democracies;4,54;4;Very limited;5,78;2;Good;5,2;3;Moderate;6,47;2;Sound
Togo;3;85;4,79;70;4,87;7,8;8;8;10;5;4,5;5;3;5;5;3,8;4;4;3;4;3,0;3;3;5,3;4;6;n/a;6;85;4,71;2,0;2;5,0;4;5;6;5;7,5;8;7;5,0;5;5;3,5;3;4;6,0;6;4,0;4;4;63;4,93;6,2;7;5;5;9;6;5,3;5,38;4,7;4;5;5;4,3;5;5;3;5,2;6;5;4;5;6;7,3;7;7;8;;;4,87;4,87;0,00;â;4,71;4,71;0,00;â;4,96;4,93;-0,03;â;;;5;3;5;5;4;4;6,5;2;Aut.;;;4,79;4;Very limited;4,87;4;Moderate autocracies;4,71;4;Very limited;4,93;3;Moderate;6,2;3;Moderate;5,38;3;Fair
Trinidad and Tobago;2;18;7,43;13;8,40;8,3;8;9;9;7;9,3;10;9;9;9;7,3;8;8;5;8;9,5;9;10;7,8;7;9;8;7;32;6,46;6,0;6;7,3;6;7;8;8;7,0;7;7;7,0;7;7;7,0;7;7;5,0;5;6,0;6;6;24;6,09;3,0;6;4;2;1;2;3,3;7,21;7,3;8;7;7;6,0;6;7;5;7,5;7;8;8;7;n/a;8,0;8;8;8;;;8,45;8,40;-0,05;â;6,54;6,46;-0,07;â;6,02;6,09;0,07;â;;;10;9;9;9;8;8;7,5;0;Dem.;;;7,43;2;Advanced;8,40;1;Democracies in consolidation;6,46;3;Limited;6,09;2;Good;3,0;4;Minor;7,21;2;Sound
Tunisia;4;42;6,26;42;6,55;7,8;8;9;7;7;7,3;8;8;7;6;5,8;6;6;5;6;6,5;6;7;5,5;5;7;5;5;47;5,96;5,0;5;5,8;5;6;7;5;7,0;8;6;6,5;7;6;6,5;6;7;5,0;5;6,0;6;6;44;5,33;5,2;6;6;6;6;3;4,3;5,97;5,0;5;4;6;5,0;5;6;4;6,2;6;6;6;7;6;7,7;6;8;9;;;6,55;6,55;0,00;â;6,21;5,96;-0,25;â;5,43;5,33;-0,10;â;;;8;8;7;6;6;6;7,5;0;Dem.;;;6,26;3;Limited;6,55;2;Defective democracies;5,96;3;Limited;5,33;3;Moderate;5,2;3;Moderate;5,97;3;Fair
Turkey;4;63;5,45;74;4,80;6,8;8;7;5;7;5,8;6;10;4;3;3,5;3;3;5;3;3,0;3;3;5,0;6;4;n/a;5;40;6,11;5,0;5;7,8;7;8;8;8;6,0;5;7;7,0;7;7;6,5;7;6;6,0;6;4,5;4;5;97;3,98;4,8;5;6;7;3;2;5,9;4,50;4,7;4;5;5;5,0;5;6;4;3,0;5;3;2;2;3;5,3;7;5;4;;;4,92;4,80;-0,12;â;6,11;6,11;0,00;â;4,05;3,98;-0,07;â;;;6;10;4;3;3;3;7,5;3;Aut.;;;5,45;4;Very limited;4,80;4;Moderate autocracies;6,11;3;Limited;3,98;4;Weak;4,8;3;Moderate;4,50;4;Flawed
Turkmenistan;6;128;2,67;129;2,70;7,8;10;7;9;5;1,0;1;1;1;1;1,8;2;2;2;1;1,0;1;1;2,0;2;2;n/a;2;128;2,64;2,0;2;2,0;2;1;3;2;2,5;1;4;2,5;2;3;3,5;4;3;3,0;3;3,0;3;3;130;2,19;5,2;5;10;3;4;3;6,3;2,45;2,7;3;3;2;2,0;2;2;2;1,8;1;1;4;1;2;3,3;3;2;5;;;2,75;2,70;-0,05;â;2,68;2,64;-0,04;â;2,32;2,19;-0,13;â;;;1;1;1;1;2;1;7,5;6;Aut.;;;2,67;5;Failed;2,70;5;Hard-line autocracies;2,64;5;Rudimentary;2,19;5;Failed;5,2;3;Moderate;2,45;5;Poor
Uganda;5;68;5,14;71;4,85;6,8;7;8;7;5;3,8;4;3;4;4;4,8;4;6;4;5;3,0;3;3;6,0;6;6;n/a;6;68;5,43;3,0;3;6,0;5;5;7;7;6,5;7;6;7,0;6;8;5,0;4;6;6,0;6;4,5;5;4;65;4,89;6,5;7;6;6;9;6;5,3;5,30;5,0;5;5;5;4,7;3;7;4;5,2;7;4;5;5;5;6,3;6;6;7;;;5,17;4,85;-0,32;â;5,68;5,43;-0,25;â;5,14;4,89;-0,25;â;;;4;3;4;4;4;5;6;2;Aut.;;;5,14;4;Very limited;4,85;4;Moderate autocracies;5,43;3;Limited;4,89;3;Moderate;6,5;2;Substantial;5,30;3;Fair
Ukraine;6;26;6,76;36;6,80;7,5;5;8;9;8;7,5;8;6;9;7;5,5;6;5;4;7;7,5;7;8;6,0;4;6;6;8;26;6,71;7,0;7;7,0;7;7;8;6;7,5;8;7;7,0;6;8;6,5;6;7;6,0;6;6,0;6;6;46;5,31;5,3;7;4;9;6;1;4,5;5,93;6,0;5;6;7;5,7;6;6;5;5,4;7;6;3;7;4;6,7;7;6;7;;;6,90;6,80;-0,10;â;6,71;6,71;0,00;â;5,52;5,31;-0,21;â;;;8;6;9;7;6;7;6,5;0;Dem.;;;6,76;3;Limited;6,80;2;Defective democracies;6,71;3;Limited;5,31;3;Moderate;5,3;3;Moderate;5,93;3;Fair
United Arab Emirates;4;50;6,01;91;4,10;8,8;10;7;8;10;1,8;2;1;2;2;4,5;2;4;7;5;2,5;3;2;3,0;1;2;n/a;6;14;7,93;8,0;8;8,5;8;7;10;9;9,0;8;10;7,0;6;8;6,5;7;6;9,0;9;7,5;7;8;16;6,38;3,1;2;9;1;1;1;4,4;7,54;9,0;9;9;9;8,0;8;9;7;4,5;7;1;7;3;n/a;8,7;10;8;8;;;3,90;4,10;0,20;â;8,00;7,93;-0,07;â;5,35;6,38;1,03;ã;;;2;1;2;2;2;5;10;5;Aut.;;;6,01;3;Limited;4,10;4;Moderate autocracies;7,93;2;Advanced;6,38;2;Good;3,1;4;Minor;7,54;2;Sound
Uruguay;2;5;9,12;1;9,95;10,0;10;10;10;10;10,0;10;10;10;10;10,0;10;10;10;10;10,0;10;10;9,8;10;10;10;9;11;8,29;7,0;7;8,5;8;8;9;9;9,0;9;9;10,0;10;10;9,0;9;9;7,0;7;7,5;8;7;2;7,39;1,3;2;2;1;1;1;1,;9,15;9,0;9;8;10;8,0;7;8;9;9,6;10;10;10;9;9;10,0;10;10;10;;;9,90;9,95;0,05;â;8,43;8,29;-0,14;â;7,33;7,39;0,06;â;;;10;10;10;10;10;10;10;0;Dem.;;;9,12;1;Highly advanced;9,95;1;Democracies in consolidation;8,29;1;Highly advanced;7,39;1;Very good;1,3;5;Negligible;9,15;1;Excellent
Uzbekistan;6;102;4,15;102;3,73;8,0;9;8;8;7;2,5;2;2;3;3;3,5;3;4;4;3;2,0;2;2;2,7;2;2;n/a;4;89;4,57;4,0;4;4,0;4;4;4;4;4,5;4;5;4,0;4;4;4,5;4;5;6,0;6;5,0;5;5;104;3,83;5,4;7;7;3;8;2;5,3;4,27;4,3;4;4;5;3,7;4;4;3;3,4;4;2;5;3;3;5,7;6;5;6;;;3,63;3,73;0,10;â;4,54;4,57;0,04;â;3,56;3,83;0,27;â;;;2;2;3;3;3;3;8;6;Aut.;;;4,15;4;Very limited;3,73;5;Hard-line autocracies;4,57;4;Very limited;3,83;4;Weak;5,4;3;Moderate;4,27;4;Flawed
Venezuela;2;129;2,65;119;3,08;6,5;4;9;10;3;2,5;2;2;3;3;1,8;2;2;1;2;2,0;2;2;2,7;3;3;n/a;2;130;2,21;2,0;2;2,5;1;2;3;4;1,0;1;1;2,5;2;3;4,0;3;5;1,0;1;2,5;2;3;134;1,44;4,8;5;5;7;2;3;6,9;1,63;1,7;1;2;2;1,3;1;2;1;1,5;3;1;1;1;n/a;2,0;2;2;2;;;3,08;3,08;0,00;â;2,46;2,21;-0,25;â;1,29;1,44;0,15;â;;;2;2;3;3;2;2;3,5;6;Aut.;;;2,65;5;Failed;3,08;5;Hard-line autocracies;2,21;5;Rudimentary;1,44;5;Failed;4,8;3;Moderate;1,63;5;Poor
Vietnam;7;82;4,85;106;3,63;9,0;10;9;10;7;2,3;2;2;3;2;2,8;2;2;4;3;1,5;1;2;2,7;1;3;n/a;4;43;6,07;5,0;5;6,0;4;6;8;6;7,0;7;7;4,5;4;5;5,5;5;6;9,0;9;5,5;5;6;44;5,33;5,5;5;9;3;7;4;5,1;5,92;7,0;7;7;7;5,0;5;5;5;4,0;6;2;6;3;3;7,7;6;8;9;;;3,57;3,63;0,07;â;6,07;6,07;0,00;â;4,73;5,33;0,60;æ;;;2;2;3;2;2;3;8,5;6;Aut.;;;4,85;4;Very limited;3,63;5;Hard-line autocracies;6,07;3;Limited;5,33;3;Moderate;5,5;3;Moderate;5,92;3;Fair
Yemen;4;137;1,41;137;1,50;2,0;1;2;3;2;1,3;1;1;2;1;1,3;1;2;1;1;1,0;1;1;2,0;2;2;n/a;2;135;1,32;1,0;1;1,3;2;1;1;1;1,0;1;1;2,0;2;2;1,0;1;1;1,0;1;2,0;2;2;133;1,51;9,2;10;7;10;9;10;9,4;1,53;1,0;1;1;1;1,3;1;1;2;1,8;2;1;1;2;3;2,0;2;2;2;;;1,50;1,50;0,00;â;1,54;1,32;-0,21;â;1,63;1,51;-0,12;â;;;1;1;2;1;1;1;1,5;7;Aut.;;;1,41;5;Failed;1,50;5;Hard-line autocracies;1,32;5;Rudimentary;1,51;5;Failed;9,2;1;Massive;1,53;5;Poor
